Document type;Document description
mys.passport.type1;Malaysian Passport (Malaysian coat of arms on the background and a stamp with a tiger in the middle, main page)
mys.passport.type2;Malaysian Passport (a flower on the background (ordinary document), main page)
mys.passport.type3;Malaysian Passport (a small personal photo in the bottom- right corner and a flower in the centre, main page)
nam.passport.type1;Passport of Republic of Namibia (the coat of arms of Namibia in the bottom-right corner of photo and in the middle on the background, main page)
ner.passport.type1;Republica de Niger Passport (photo on the left, signature on the bottom)
nga.drvlic.type1;Driver License of the Federal Republic of Nigeria (small photo of the owner in the lower right corner, front page)
nga.drvlic.type2;Driver License of the Federal Republic of Nigeria (the coat of arms of Nigeria on the background, front page)
nga.id.type1;ID card of the Federal Republic of Nigeria (emblem of Azerbaijan in the top-left corner, front side)
nga.passport.type1;Passport of the Federal Republic of Nigeria (the coat of arms of Nigeria in the middle on the background, main page)
nga.passport.type2;Passport of the Federal Republic of Nigeria (vertical inscription of country name on the right side of photo and lines on the background, main page)
nga.passport.type3;Passport of the Federal Republic of Nigeria (image of the borders of the country in the upper right corner, main page)
nic.passport.type1;Passport of the Republic of Nicaragua (a toucan in the top- right corner, main page)
nic.passport.type2;Passport of the Republic of Nicaragua (a flower and the personal photo on the background, main page)
nic.passport.type3;Passport of the Republic of Nicaragua (watermarks with the country name on the background, main page)
nld.drvlic.type1;NLD Driving License (one big and two small circle on the background, horizontal card, front)
nld.drvlic.type2;Driving License of Netherlands (barcode in the bottom-right corner, front side)
nld.drvlic.type3;Driving License of Netherlands (circles on the background, front side)
nld.id.type1;ID Card of Netherlands ()
nld.id.type2;ID card of Netherlands (biomentric symbol on the bottom, front side)
nld.passport.type1;Passport of Netherlands (a small personal photo on the right, main page)
nld.passport.type2;Passport of Netherlands (checkered background and a personal number field on the right, main page)
nld.passport.type3;Passport of Netherlands (a small personal photo on the right, main page)
nld.rp.type1;Residence Permit of Netherlands (the coat of arms of the Netherlands on the left and a bull above the personal photo, front side)
nld.visa.type1;Visa of Netherlands (NLD sign in the top-right corner, main page)
nor.drvlic.type1;Norwegian Driving License (ninth poin under the photo and a watermark with Norwegian coat of arms to the right of the photo, front side)
nor.drvlic.type2;Norwegian Driving License (N sign in the top-left corner and ninth poin under the signature, main page)
nor.id.type1;Norwegian ID Card (a chip on the left and Norwegian coat of arms on the top, front side)
nor.passport.type1;Norwegian Passport (a stamp with letters NOR in the top- right corner and a small personal photo in the centre, main page)
nor.rp.type1;Norwegian Residence Permit (biometric symbol in the top-left corner and Norwegian coat of arms on the right, front side)
nor.visa.type1;Norwegian Visa (NOR sign in the top-right corner)
npl.passport.type1;Nepalese Passport (a small personal photo on the right side, main page)
nru.passport.type1;Passport of the Republic of Nauru (flag of Nauru above the personal photo, main page)
nzl.drvlic.type1;Driving License of New Zealand (flag of New Zealand above the personal photo, front side)
nzl.drvlic.type2;Driving License of New Zealand (flag of New Zealand above the personal photo, front side)
nzl.id.type1;Identity card of New Zealand (flag of New Zealand above the personal photo, front side)
nzl.id.type2;Identity card of New Zealand (flag of New Zealand above the personal photo, front side)
nzl.id.type3;Identity card of New Zealand (flag of New Zealand above the personal photo, front side)
nzl.id.type4;Identity card of New Zealand (biometric symbol in the top- right corner, main page)
nzl.passport.type1;Passport of New Zealand (a tracery above the mrz zone, main page)
nzl.passport.type2;Passport of New Zealand (biometric symbol in the top-right corner, main page)
nzl.passport.type3;Passport of New Zealand (NZ sign in the top-right corner, main page)
omn.drvlic.type1;Omani Drviver License (national coat of arms in the top- right corner and a round symbol in the left, front)
omn.drvlic.type2;Omani Driver License (national coat of arms in the top-right corner and copy of a personal photo in the centre, front)
omn.id.type1;Omani ID Card (national coat of arms in the top-right corner, front)
omn.id.type2;Omani ID Card (national coat of arms in the top-right corner and copy of a personal photo in the centre, front)
omn.passport.type1;Omani Passport (biometric symbol in the top-right corner and stamp with the national emblem of Oman in the top-right corner of photo, main page)
omn.passport.type2;Omani Passport (biometric symbol in the top-right corner and stamp with the national emblem of Oman in the top-right corner of photo, main page)
pak.drvlic.type1;Pakistani Driving License (the national flag in the top- right corner and a personal photo on the left, front side)
pak.drvlic.type2;Pakistani Driving License (the national flag in the top-left corner, front side)
pak.drvlic.type3;Pakistani Driving License (the police emblem in the top- right corner, front side)
pak.id.type1;Pakistani ID Card (the national flag in the top-right corner and the national coat of arms in the top-left corner, front side)
pak.id.type2;Pakistani ID Card (the national coat of arms in the top- right corner, front side)
pak.passport.type1;Pakistani Passport (barcode abobe the mrz zone, main page)
pan.passport.type1;Panamanian Passport (barcode abobe the mrz zone, main page)
pan.passport.type2;Panamanian Passport (the coat of arms of Panama on the background, main page)
pan.passport.type3;Panamanian Passport (the coat of arms of Panama in the left corner and Red outline of a country map in the middle, main page)
per.drvlic.type1;Peruvian driver licence
per.id.type1;Peru ID Card (blue background with white wavy lines, front)
per.id.type2;Peru ID Card (white backgroung, silhouette of mountain, emblem of country in right_upper connor, front)
per.id.type3;Peru ID Card (white backgroung, silhouette of mountain, emblem of country in right_upper connor, front)
per.migration_card.type1;Peruvian Migration Card
per.passport.type1;Peruvian Passport (a small personal photo and watermark with Peruvian coat of arms on the right, main page)
per.passport.type2;Peruvian Passport (barcode above the mrz zone and a small personal photo on the right, main page)
per.passport.type3;Peruvian Passport (inscription of document name in two languages above the photo, main page)
phl.drvlic.type1;Philippine Driving License (a sign of the land transportation office in the right-top corner and on the background, front side)
phl.drvlic.type2;Philippine Driving License (a barcode on the bottom, front side)
phl.passport.type1;Philippine Passport (the Philippine coat of arms on the background, main page)
phl.passport.type2;Philippine Passport (the Philippine flag in the top-left corner and biometric symbol on the top-right corner, main page)
phl.passport.type3;Philippine Passport (photo of the owner on the background, main page)
plw.passport.type1;Passport of Palau (the flag of Palau in the centre, main page)
png.drvlic.type1;Driving License of Papua New Guinea (parrots on the left, front)
png.id.type1;ID Card of Papua New Guinea (red parrots in the top-left corner, front)
png.passport.type1;Passport of Papua New Guinea (parrot watermark, front)
pol.drvlic.type1;"Poland Driving License (eye-like sign in the bottom-right corner, ""PRAWO JAZDY"" in the top-right corner, front side)"
pol.drvlic.type2;Poland Driving License (flower on the background, front side)
pol.drvlic.type3;Poland Driving License (tape with text on the background, front side)
pol.drvlic.type4;Poland Driving License (circles on the background, front side)
pol.id.type1;Poland ID Card (emblem in the top-right corner, front side)
pol.id.type2;Poland ID Card (emblem in the top-left corner, two photos on the card, front side)
pol.id.type3;Poland ID Card (emblem in the top-left corner, only one photo on the card, front side)
pol.id.type4;Poland ID Card (emblem in the top-left corner, two photos on the card, front side)
pol.passport.type1;Polish Passport (map in the top-left corner)
pol.passport.type2;Polish Passport (stamp with Polish emblem in the top-left corner, main page)
pol.passport.type3;Polish Passport (biometric passport sign, main page)
pol.passport.type4;Polish Passport (coat of arms in the top-left corner)
pol.passport.type5;Polish Passport (coat of arms in the top-left corner)
pol.rp.type1;Polish Residence Permit (biometric symbol on the top and stamp with number on the top-right, front)
pol.rp.type2;Polish Residence Permit (square in the top-right corner, front)
pol.rp.type3;Polish Residence Permit (name field on the top-left and Polish emblem on the right, front)
pol.rp.type4;Polish Residence Permit (static text zgoda na pobyt tolerowany on the top and RP sign on the right, front)
pol.rp.type5;Polish Residence Permit (old type, RP sign on the right, front)
pol.rp.type6;Polish Residence Permit (three static lines on the top and RP sign on the right, front)
pol.visa.type1;Polish Visa (POL sign in the top-right corner, main page)
prk.passport.type1;Passport of the Democratic People's Republic of Korea (barcode above the mrz zone and the coat of arms of the Democratic People's Republic of Korea on the background, main page)
prk.passport.type2;Passport of the Democratic People's Republic of Korea (service document, a personal photo on the background on the right, main page)
prt.drvlic.type1;Portuguese Driving License (sign of the European Union with letter P in the top-left corner, front side)
prt.drvlic.type2;Portuguese Driving License (sign of the European Union with letter P in the top-left corner, front side)
prt.id.type1;Portuguese ID card (a chip on the left and a stamp with a cross of shields in the top-left corner, front side)
prt.passport.type1;Portuguese Passport (a circle stamp in the top-left corner, main page)
prt.passport.type2;Portuguese Passport (a stamp with a cross of shields in the top-left corner, main page)
prt.passport.type3;Portuguese Passport (a stamp with a tower on the left above the personal photo, main page)
prt.rp.type1;Portuguese Residence Permit (parallelogram on the top near the name of document, front side)
prt.rp.type2;Portuguese Residence Permit (biometric symbol on the top near the name of document, front side)
prt.visa.type1;Portuguese Visa (PRT sign in the top-right corner, main page)
pry.drvlic.type1;Driving License of the Republic of Paraguay (the coat of arms of Paraguay in the top-left corner and circles on the right, front side)
pry.id.type1;ID card of the Republic of Paraguay (a personal photo on the right, the coat of arms of Paraguay in the top-left corner and on the background, front side)
pry.id.type2;ID card of the Republic of Paraguay (a personal photo on the left and the flag of Paraguay above the photo, front side)
pry.passport.type1;Passport of the Republic of Paraguay (a small personal photo in the right above the mrz zone, main page)
pry.passport.type2;Passport of the Republic of Paraguay (PRY sign on the left top corner)
pse.id.type1;Identification Card of Occupied Palestinian Territory (national coat of arms in the centre, front side)
pse.passport.type1;Passport of Occupied Palestinian Territory (national coat of arms in the centre, main page)
pse.passport.type2;Passport of Occupied Palestinian Territory (national coat of arms in the centre, main page)
pyf.drvlic.type1;Driving License French Polynesia (flag in the lower right corner, front side)
qat.id.type1;ID Card of Qatar
qat.passport.type1;Passport of Qatar (inscriptions on the background, main page)
qat.passport.type2;Passport of Qatar (a copy of a personal photo on the background, main page)
qat.passport.type3;Passport of Qatar (a copy of a personal photo on the background, main page)
qat.rp.type1;Residence Permit of Qatar
rks.drvlic.type1;Kosovo Driving License (a coat of arms of Kosovo in the top- right corner, front)
rks.id.type1;Kosovo ID Card (The coat of arms of the republic of Kosovo on the top-left corner, front)
rks.id.type2;Kosovo ID Card (The coat of arms of the republic of Kosovo on the top-left corner, front)
rks.passport.type1;Kosovo passport (Kosovo-shaped figure in the top-right corner, main page)
rks.passport.type2;Kosovo passport (Kosovo-shaped figure in the top-middle, main page)
rks.passport.type3;Kosovo passport (Kosovo-shaped figure in the top-right corner, main page)
rou.drvlic.type1;Romanian Driving License (sign of the European Union with letters RO in the top-left corner, front side)
rou.drvlic.type2;Romanian Driving License (sign of the European Union with letters RO in the top-left corner, front side)
rou.id.type1;Romanian ID card (national flag on the top and the coat of arms on the background, front side)
rou.passport.type1;Romanian Passport (country name is written in one language on the top, main page)
rou.passport.type2;Romanian Passport (country name is written in three language on the top, main page)
rou.passport.type3;Romanian Temporary Passport (country name is written in three language on the top, main page)
rou.passport.type4;Romanian Passport (word PASSPORT is written in three language on the upper left, main page)
rou.rp.type1;Romanian Residence Permit (the national coat of arms on the right and a bull above the personal photo, front side)
rou.rp.type2;Romanian Residence Permit (sign of the European Union on the background and the national coat of arms near it, front side)
rou.visa.type1;Romanian Visa (ROU sign in the top-right corner, main page)
rus.2p.type1;Russian Temporary Identity Card (form 2p, stamp of the federal migration service on the background)
rus.birth_certificate.type1;Russian Birth Certificate (Russian emblem on the top, main page)
rus.birth_certificate.type2;Russian Birth Certificate (QR code on the left-top side, main page)
rus.death_certificate.type1;Russian Death Certificate (Russia's coat of arms on the top)
rus.divorce_certificate.type1;Russian Divorce Certificate (Russia's coat of arms on the top)
rus.drvlic.type1;Russian Driving License (russian code top left, front)
rus.drvlic.type2;Russian Driving License (russian code top left, traffic police sign on the background, front)
rus.drvlic.type3;Russian Driving License (print traffic police on the background, front)
rus.employment_record.type1;Russian Employment Record (coat of arms of the Russia)
rus.employment_record.type2;Russian Employment Record (coat of arms of the ussr)
rus.id.lawyer.type1;Russian Lawyer ID (biometric symbol on the top, Russia's coat of arms on the top-right)
rus.id.military.type1;Russian Military ID (star on the top)
rus.id.military.type2;Russian Military ID (USSR sign on the background)
rus.id.military.type3;Russian Military ID (star with the USSR sign on the top)
rus.id.military.type4;Russian Military ID (Russia's coat of arms on the background)
rus.id.military.type5;Russian Military ID (star on the top)
rus.id.police.type1;Russian Police ID (Russia's coat of arms on the top-right)
rus.id.prosecutor.type1;Russian Certificate of Prosecutor's Office (name of document is written in two lines, page 2)
rus.id.prosecutor.type2;Russian Certificate of Prosecutor's Office (name of document is written in one line, page 2)
rus.id.soldier.type1;Russian Soldier ID (Russia's coat of arms on the background left)
rus.inn.citizen.type1;Russian INN (Russian emblem on the background, seal with the Russian emblem on the top- and down-middle)
rus.inn.citizen.type2;Russian INN (Russian emblem on the background, seal with the Russian emblem on the down-middle)
rus.inn.citizen.type3;Russian INN (Russian emblem on the background, seal with the Russian emblem on the down-middle)
rus.inn.citizen.type4;Russian INN
rus.inn.entity.type1;Russian INN (Russian emblem on the background, seal with the Russian emblem on the down-middle)
rus.inn.entity.type2;Russian INN (Russian emblem on the background, seal with the Russian emblem on the down-middle)
rus.marriage_certificate.type1;Russian Marriage Certificate (Russia's coat of arms on the top)
rus.migration_card.type1;Russian Migration Card
rus.name_change_certificate.type1;Russian Name Change (Russian emblem on the top, main page)
rus.oms.type1;Russian Health Insurance (round stamp in the down-left corner, front side)
rus.oms.type2;Russian Health Insurance (round stamp in the down-right corner, front side)
rus.oms.type3;Russian Health Insurance (national coat of arms in the top- left corner and chip in the middle on the left, front side)
rus.oms.type4;Russian Health Insurance (the coat of arms of Moscow in the top-right corner, front side)
rus.passport.biometric;Russian International Biometric Passport
rus.passport.international;Russian International Passport
rus.passport.national;Russian National Passport
rus.passport.previous;Russian Passport (previous)
rus.passport.registration;Russian Passport (registration)
rus.pts.type1;Russian PTS (vehicle registration document)
rus.residence.biometric;Russian Residence (biometric symbol on the right and Russia's coat of arms on the background)
rus.residence.old;Russian Residence (Russia's coat of arms on the background)
rus.snils.type1;Russian SNILS (patterns in the right on the background, front)
rus.snils.type2;Russian SNILS (old type, front)
rus.sts.new;Russian Vehicle Registration Certificate (new type, stamp with car in the top-right corner, front)
rus.sts.old;Russian Vehicle Registration Certificate (old type, RUS sign on the top, front)
rus.visa.type1;Russian Visa (post stamp on the left)
rus.work_permit.type1;Russian Work Permit (FMS sign of Russia on the background)
rwa.id.type1;ID Card of Republic of Rwanda (the Rwanda's flag in the top- right corner, front page)
rwa.passport.type1;Passport of Republic of Rwanda (the sun in the top-right corner and the contour of country on the background, main page)
rwa.passport.type2;Passport of Republic of Rwanda (the sun in the top-right corner and the contour of country on the background, main page)
sau.drvlic.type1;Driver Licence of Saudi Arabia (a barcode in the bottom- right corner, front side)
sau.drvlic.type2;Driver Licence of Saudi Arabia (a barcode in the bottom-left corner under the personal photo, front side)
sau.drvlic.type3;Driving Licence of Saudi Arabia (a barcode in the bottom- right corner, front side)
sau.id.type1;ID Card of Saudi Arabia (a barcode in the bottom-left corner and a personal photo on the right side on the background, front side)
sau.id.type2;ID Card of Saudi Arabia (a barcode in the bottom-left corner and a mark with small personal photo in the center, front side)
sau.passport.type1;Passport of Saudi Arabia (a barcode above the mrz zone, main page)
sau.passport.type2;Passport of Saudi Arabia (a barcode above the mrz zone, main page)
sau.rp.type1;Residence Permit of Saudi Arabia (yellow background, front side)
sau.rp.type2;Residence Permit of Saudi Arabia (green background, front side)
sau.vrc.type1;Vehicle Registration of Saudi Arabia (barcode on the bottom, front side)
sdn.drvlic.type1;Passport of Sudan (national coat of arms on the background, main page)
sdn.passport.type1;Passport of Sudan (national coat of arms on the background, main page)
sdn.passport.type2;Diplomatic Passport of Sudan (national coat of arms on the background, main page)
sen.id.type1;Senegal ID card (flag and yellow five-pointed star in top- right corner, front side)
sen.passport.type1;Senegal passport White background
sen.passport.type2;Senegal passport (the emblem on the background, main)
sgp.drvlic.type1;Driving License of Singapore (moon, stars and countru silhouette on a background, front side)
sgp.id.type1;ID Card of Singapore (national coat of arms in the top-right corner, front side)
sgp.passport.type1;Passport of Singapore (national coat of arms on the top and a mark with a personal photo on the right, main page)
sgp.passport.type2;Passport of Singapore (national coat of arms on the top and a mark with a personal photo on the right, main page)
sgp.work.type1;Work Permit of Singapore (barcode on the bottom and a mark with lion on the right, front side)
shn.passport.type1;Passport of Saint Helena (patterns on the top and on the bottom of a personal photo, main page)
shn.passport.type2;Passport of Saint Helena (crowns on the left side of personal photo, main page)
slb.passport.type1;Passport of the Solomon Islands (mountain on the background, main page)
slb.passport.type2;Passport of the Solomon Islands (national flag in the top- right corner and a personal photo in the middle on the background, main page)
sle.passport.type1;Passport of the Republic of Sierra Leone (national coat of arms on the background, main page)
sle.passport.type2;Passport of the Republic of Sierra Leone (flag in the upper right corner, main page)
slv.id.type1;ID Card of Singapore (the national flag on the top-left corner and a coat of arms on the top-right corner, main page)
slv.passport.type1;Passport of Singapore (national coat of arms and a copy of personal photo in the right-top corner, main page)
slv.passport.type2;Passport of Republica De El Salvador (a barcode above the mrz zone and a copy of personal photo in the centre, main page)
slv.vrd.type1;Vehicle Registration Document of Republica De El Salvador (a chip on the left, main page)
smr.id.type1;ID card of the Republic of San Marino (the coat of arms of San Marino and biometric symbol above the personal photo, front side)
smr.passport.type1;Passport of the Republic of San Marino (the coat of arms of San Marino on the background, main page)
som.passport.type1;Somali Passport (an antelope head in the top-right corner, main page)
som.passport.type2;Somali Passport (a star in the top-right corner, main page)
srb.drvlic.type1;Serbian Driving License (SRB sign in the top-left corner and the coat of arms of Serbia in the top-right corner, front side)
srb.id.type1;Serbian ID card (the coat of arms of Serbia in the top-left corner and a shield on the right, front side)
srb.passport.type1;Serbian Passport (the coats of arms of Serbia on the background, main page)
ssd.passport.type1;Passport of South Sudan (SSD sign on the right, main page)
ssd.passport.type2;Passport of South Sudan (the contour of country on the right, main page)
stp.passport.type1;São Tomé and Príncipe Passport (photo on the left, signature on the right)
sur.drvlic.type1;Driving License of Suriname (the national flag in the top- left corner and a coat of arms in the top-right corner, front side)
sur.id.type1;ID card of Suriname (a coat of arms under the personal photo, front side)
sur.passport.type1;Passport of Suriname (the coat of arms of Suriname on the background and barcode above the mrz zone, main page)
svk.drvlic.type1;Driving License of Slovakia (the contour of country with letters SK on the right, main page)
svk.drvlic.type2;Driving License of Slovakia (the contour of country with letters SK in the bottom-right corner, main page)
svk.drvlic.type3;Driving License of Slovakia (leaves in the bottom-right corner, main page)
svk.drvlic.type4;Driving License of Slovakia (leaves in the bottom-right corner, main page)
svk.id.type1;ID Card of Slovakia (a round stamp in the top-right corner of the photo and leaves in the top-right corner, front side)
svk.id.type2;ID Card of Slovakia (a round stamp under the photo and the national coat of arms on the background, main page)
svk.passport.type1;Passport of Slovakia (inscription with the name of country above the mrz zone, main page)
svk.passport.type2;Passport of Slovakia (SVK sign in the left-bottom corner of photo, main page)
svk.rp.type1;Residence Permit of Slovakia (biometric symbol on the top, front side)
svk.rp.type2;Residence Permit of Slovakia (parallelogram on the top, front side)
svk.visa.type1;Residence Permit of Slovakia (SVK sign in the top-right corner)
svk.vrc.type1;Vehicle Registration Certificate of Slovakia (card-sized, national symbol in the top-right corner and sign of the European Union with letter SK in the top-left corner, front side)
svn.drvlic.type1;Slovenian Driving License (country's name is written in one line, front side)
svn.drvlic.type2;Slovenian Driving License (country's name is written in two lines, front side)
svn.id.type1;Slovenian ID card (the Slovenian coat of arms on the top, front side, cavalryman motif in the middle above the mrz zone, back side)
svn.passport.type1;Slovenian Passport (a leaf in the top-right corner and a small personal photo on the right , main page)
svn.rp.type1;Slovenian Residence Permit (a bull in the middle on the background and sign of the European Union in the top-left corner, front side)
svn.rp.type2;Slovenian Residence Permit (a bull above the personal photo and a biometric symbol on the top, front side)
svn.visa.type1;Slovenian Visa (SVN sign in the top-right corner, main page)
swe.drvlic.type1;Swedish Driving License (a small personal photo on the right, front side)
swe.drvlic.type2;Swedish Driving License (a stamp under the signature, front side)
swe.id.type1;Swedish ID card (chip on the right and a personal photo on the left, front side)
swe.id.type2;Swedish ID card (biometric symbol on the top, chip on the left and a personal photo on the right, front side)
swe.passport.type1;Swedish Passport (a biometric symbol in the top-right corner, main page)
swe.passport.type2;Swedish Passport (a square stamp in the top-right corner, main page)
swe.rp.type1;Swedish Residence Permit (the coat of arms of Sweden on the right and a biometric symbol on the top, front side)
swe.rp.type2;Swedish Residence Permit (the coat of arms of Sweden in the top-left corner, front side)
swe.visa.type1;Swedish Visa (SWE sign in the top-right corner, main page)
swz.passport.type1;Kingdom of Swaziland Passport (photo on the left, authroity on the right)
syc.passport.type1;Passport of the Republic of Seychelles (Seychelles nut on the left side of the personal photo, main page)
syr.drvlic.type1;Driving Licence of Syrian Arab Republic (personal photo in the bottom-left, front)
syr.id.type1;Identification Card of Syrian Arab Republic (Coat of arms of Syria under the photo of the owner, front)
syr.passport.type1;Passport of Syrian Arab Republic (national coat of arms on the top, main page)
tca.passport.type1;Passport of Turks and Caicos Islands (laser cut patterns on the top and on the bottom of the personal photo, main page)
tcd.passport.type1;Passport of the Republic of Chad (laser cut patterns on the top and on the bottom of the personal photo, main page)
tgo.drvlic.type1;Driver licence of Republique Togolaise (national coat of arms on the background, main page)
tgo.passport.type1;Passport of Republique Togolaise (national coat of arms on the background and biometric symbol in the top-right corner, main page)
tgo.passport.type2;Passport of Republique Togolaise (national coat of arms on the background, main page)
tha.drvlic.type1;Driving License of Thailand (the national flag in the top- left corner and data in two cells of the table, front side)
tha.drvlic.type2;Driving License of Thailand (the national flag in the top- left corner and landscape on the background, front side)
tha.id.type1;ID Card of Thailand (national coat of arms in the top-left corner and a chip on the right, front side)
tha.passport.type1;Passport of Thailand (the national flag in the top-left corner, main page)
tha.passport.type2;Passport of Thailand (a copy of personal photo on the right, main page)
tjk.drvlic.type1;Driving License of Tajikistan (the national coat of arms on the top and the contour of country in the bottom-right corner, front side)
tjk.drvlic.type2;Driving License of Tajikistan (the national coat of arms on the top and the contour of country in the bottom-right corner, front side)
tjk.id.type1;ID Card of Tajikistan (the national flag in the top-left corner, front side)
tjk.passport.type1;Passport of Tajikistan (the national flag in the top-left corner and a copy of personal photo in the right, main page)
tjk.passport.type2;Passport of Tajikistan (a round stamp in the bottom-right corner of the photo, main page)
tjk.passport.type3;Passport of Tajikistan (the national flag in the top-left corner and a copy of personal photo in the right, main page)
tkm.drvlic.type1;Turkmen Driving License (TM sign in the top-right corner and national coat of arms in the top-left corner, front side)
tkm.passport.type1;Turkmen Passport (symbols from national flag on the right on the background, main page)
tkm.passport.type2;Turkmen Passport (the national coat of arms in the middle on top, main page)
tkm.visa.type1;Turkmen Visa (national coat of arms on the background)
tkm.visa.type2;Turkmen Visa (national symbol in the form of the moon and stars in the top-right corner)
tls.passport.type1;Timor-Leste Passport, main page
ton.passport.type1;Passport of the Kingdom of Tonga (the national coat of arms on the background, main page)
tto.drvlic.type1;Driver licence of Trinidad and Tobago (a barcode above the mrz zone and a copy of personal photo on the right, main page)
tto.id.type1;ID of Trinidad and Tobago (a barcode above the mrz zone and a copy of personal photo on the right, main page)
tto.passport.type1;Passport of Trinidad and Tobago (a barcode above the mrz zone and a copy of personal photo on the right, main page)
tto.passport.type2;Passport of Trinidad and Tobago (a barcode above the mrz zone and a copy of personal photo on the right, main page)
tun.drvlic.type1;Driver's License of the Republic of Tunisia (Tunisia's small flag in the middle of the top of the card, front side)
tun.id.type1;ID Card of Tunisia (number 7 on the background and barcode above the mrz zone, main page)
tun.passport.type1;Passport of Tunisia (number 7 on the background and barcode above the mrz zone, main page)
tur.drvlic.type1;Turkish Driving License (TR sign in the top-left corner and a car in the bottom-right corner, front side)
tur.drvlic.type2;Turkish Driving License (T.C. sign in the top-left corner, front side)
tur.id.type1;Turkish ID card (national emblem of the Republic of Turkey on the right and a personal photo on the left, front side)
tur.id.type2;Turkish ID card (national emblem of the Republic of Turkey on the left and a personal photo on the right, front side)
tur.passport.type1;Turkish Passport (TR watermark in the top-right corner and a small personal photo on the right, main page)
tur.passport.type2;Turkish Passport (TR watermark in the middle and a personal photo on the left, main page)
tur.rp.type1;Turkish Residence Permit (national emblem of the Republic of Turkey on the top-left corner, front side)
tuv.passport.type1;Passport of Tuvalu (national coat of arms on the background, main page)
twn.id.type1;ID Card of Taiwan (Taiwan flag in the top left corner, front)
twn.passport.type1;Passport of Taiwan (butterflies in the top-right corner, main page)
twn.passport.type2;Passport of Taiwan (a globe in the top-right corner, main page)
twn.passport.type3;Passport of Taiwan (flowers in the top-right corner, main page)
twn.passport.type4;Passport of Taiwan (a round stamp in the bottom-right corner of photo, main page)
tza.drvlic.type1;Driving License of the United Republic of Tanzania(the coat of arms ofof the United Republic of Tanzania in the top- right corner, front side)
tza.passport.type1;Passport of the United Republic of Tanzania (Mount Kilimanjaro on the background, main page)
tza.passport.type2;Passport of the United Republic of Tanzania (national coat of arms on the background, main page)
uap.passport.type1;Passport of African Union (cope of main photo in right area, main page)
uga.passport.type1;Passport of the Republic of Uganda (the coat of arms of Uganda on the background, main page)
uga.passport.type2;Passport of the Republic of Uganda (photo of the owner on the background, main page)
ukr.drvlic.type1;Ukrainian Driving License (Blue background and flag in the upper left corner, front side)
ukr.drvlic.type2;Ukrainian Driving License (Pink background and flag in the upper right corner, front side)
ukr.drvlic.type3;Ukrainian Driving License (Yellow background and flag in the upper left corner, front side)
ukr.drvlic.type4;Ukrainian Driving License (the national coat of arms on the background, vertical type front side)
ukr.id.type1;Ukrainian ID (Ukranian flag in the top-right corner, card- sized)
ukr.passport.type1;Ukrainian Passport (Building on the right and the camera symbol in the upper left corner, front side)
ukr.passport.type2;Ukrainian Passport (Pink, yellow and gray wave in the center, front side)
ukr.visa.type1;Ukrainian Visa (stamp in the left corner)
ukr.vrc.type1;Ukrainian Vehicle Registration Certificate (card-sized, coat of arms of Ukraine on background)
ury.drvlic.type1;Uruguay Driver License (Code of Uruguay on the background)
ury.id.type1;Uruguay ID (coat of arms in the top-left corner)
ury.passport.type1;Uruguay Passport (Large coat of arms on the background, front side)
ury.passport.type2;Uruguay Passport (the text REPUBLICA ORIENTAL DEL URUGUAY round on the background, front side)
usa.ammpid.type1;USA Arizona Medical Marijuana Programm ID (emblem of the arizona department of health services in the top-left corner)
usa.border_crossing.type1;USA border crossing card - a horizontal card, rhombuses and building on the background, front
usa.border_crossing.type2;USA border crossing card - a horizontal card, flag outline on the top left, front
usa.drvlic.ak.type1;USA Driving License - Alaska (mountains on the background and photo on the right, front)
usa.drvlic.ak.type2;USA Driving License - Alaska (flag of Alaska on the background, front)
usa.drvlic.ak.type3;USA Driving License - Alaska (mountains on the background and photo on the right, front)
usa.drvlic.ak.type4;USA Driving License - Alaska (mountains on the background and photo on the right, front)
usa.drvlic.ak.type5;USA Driving License - Alaska (mountains on the background and photo on the right, front)
usa.drvlic.al.type1;USA Driving License - Alabama (building on the background, front)
usa.drvlic.al.type2;USA Driving License - Alabama (a vertical card, building on the background, front)
usa.drvlic.ar.type1;USA Driving License - Arkansas (stamp with emblem of Arkansas on the background, front)
usa.drvlic.ar.type2;USA Driving License - Arkansas (DL sign in the middle on the top, front)
usa.drvlic.ar.type3;USA Driving License - Arkansas (stamp with emblem of Arkansas on the background and a copy of personal photo in the bottom-right corner, vertical type under 21)
usa.drvlic.ar.type4;USA Driving License - Arkansas (diamonds on the background and a copy of personal photo in the bottom-right corner, front)
usa.drvlic.az.type1;USA Driving License - Arizona (a horizontal card and a cactus silhouette on the right on the background, front side)
usa.drvlic.az.type2;USA Driving License - Arizona (a vertical card and a cactus silhouette on the right on the background, front side)
usa.drvlic.az.type3;USA Driving License - Arizona (the Grand Canyon on the background and a personal photo in the bottom-right corner, front side)
usa.drvlic.az.type4;USA Driving License - Arizona (a vertical card and a cactus silhouette on the right on the background, front side)
usa.drvlic.az.type5;USA Driving License - Arizona (the Grand Canyon on the background and a personal photo in the bottom-right corner, front side)
usa.drvlic.ca.type1;USA Driving License - California (a horizontal card, bears on the background and a small personal photo on the right, front side)
usa.drvlic.ca.type2;USA Driving License - California (a vertical card, a small personal photo in the bottom-left corner, front side)
usa.drvlic.ca.type3;USA Driving License - California (a horizontal card, a bear with a star above the man on the right on the background, front side)
